Country,Year,GDP_per_capita,Literacy_Rate,Cluster
India,1970,18973.71,82.7,2
Nigeria,1970,5935.7,88.1,0
Egypt,1970,-355.06,82.1,0
India,1970,16670.91,86.7,2
Germany,1970,17748.95,91.1,2
Australia,1970,11166.61,98.6,0
United States,1970,14713.39,82.0,1
South Africa,1970,-2467.95,90.1,0
Turkey,1970,17368.96,80.8,1
United States,1970,17060.4,100.0,0
South Africa,1970,10328.26,100.0,2
Australia,1970,6501.57,81.8,2
Mexico,1970,17079.06,88.0,2
Nigeria,1970,18926.2,92.9,2
Brazil,1970,13036.9,88.4,2
Japan,1970,20005.34,92.1,2
China,1970,16712.75,86.5,1
Japan,1970,3978.65,100.0,0
Germany,1970,8817.4,66.3,1
India,1970,9277.57,78.5,1
South Korea,1970,8659.83,81.7,2
Nigeria,1970,20977.25,77.9,2
Mexico,1970,12979.45,86.3,2
India,1970,16592.48,91.6,2
Germany,1970,17247.93,93.5,2
Kenya,1970,-2631.96,86.2,0
South Korea,1970,21603.33,81.9,2
South Africa,1970,-4048.14,91.3,0
Canada,1970,8396.02,87.4,2
Kenya,1970,-1747.55,83.4,0
Egypt,1970,8154.77,81.0,1
France,1970,26609.15,86.8,2
Mexico,1970,8926.94,79.2,1
Brazil,1970,1294.92,79.0,0
South Korea,1970,15962.37,97.8,0
Nigeria,1970,20485.98,98.7,2
Saudi Arabia,1970,12844.75,71.2,2
Russia,1970,4564.24,74.4,1
Brazil,1970,14143.76,85.4,1
France,1970,10755.99,98.7,0
Russia,1970,13976.66,70.8,1
Japan,1970,15618.95,83.1,2
Egypt,1970,-1205.14,76.7,0
Japan,1970,19007.34,90.4,2
Nigeria,1970,6077.78,72.9,1
South Africa,1970,10685.54,77.0,1
Japan,1970,24342.26,80.7,1
Indonesia,1970,24609.71,81.5,1
Mexico,1970,16884.92,80.8,2
Nigeria,1970,10642.69,88.3,2
Egypt,1970,10055.91,100.0,0
Russia,1970,17239.75,92.3,0
Argentina,1970,27745.49,95.9,2
Argentina,1970,21585.36,100.0,2
South Korea,1970,13152.52,73.9,1
China,1970,10410.7,86.1,0
Indonesia,1970,12258.5,100.0,2
Canada,1970,5222.98,89.4,0
China,1970,17609.06,95.5,2
Australia,1970,-1655.44,89.0,0
Germany,1970,17462.41,83.2,1
France,1970,18266.02,94.8,2
Mexico,1970,19141.27,70.9,1
Nigeria,1970,7946.54,86.2,0
United States,1970,9984.26,94.7,0
Russia,1970,16421.61,95.8,2
Japan,1970,17172.63,91.8,2
Kenya,1970,524.03,76.1,1
Brazil,1970,17136.4,99.1,0
United States,1970,11638.51,77.3,1
Turkey,1970,14604.29,89.9,2
Turkey,1970,9900.9,89.7,0
Kenya,1970,-902.31,100.0,0
Saudi Arabia,1970,10859.11,79.7,1
China,1970,19725.24,96.7,2
Brazil,1970,17949.39,85.5,2
Turkey,1970,16995.07,86.9,2
Saudi Arabia,1970,24560.37,84.3,2
Indonesia,1970,6830.14,93.7,2
India,1970,14635.31,99.4,0
Kenya,1970,9141.78,99.4,0
Canada,1970,21725.15,60.8,1
Argentina,1970,14971.18,85.3,2
Germany,1970,29381.49,94.2,2
Germany,1970,23396.42,78.1,1
China,1970,19182.68,89.4,2
Indonesia,1970,18193.78,70.4,1
Brazil,1970,13618.98,98.8,2
Turkey,1970,14795.57,56.5,1
Australia,1970,11258.39,72.2,1
Russia,1970,12210.78,89.3,0
Kenya,1970,9821.04,65.0,1
South Korea,1970,23865.46,100.0,2
Turkey,1970,34227.32,96.9,2
India,1970,14486.89,89.5,0
Egypt,1970,1619.49,85.2,0
Japan,1970,9888.31,100.0,2
Argentina,1970,23180.56,93.5,2
Egypt,1970,-9543.65,98.9,0
Egypt,1970,8400.42,88.2,0
Germany,1970,16001.8,85.4,2
Egypt,1970,-1747.26,87.8,0
Canada,1970,13517.7,100.0,2
Germany,1970,28421.61,83.0,2
Egypt,1970,5870.29,88.7,0
Indonesia,1970,19466.62,70.9,1
Russia,1970,6261.5,88.9,0
Argentina,1970,8712.08,63.5,1
Indonesia,1970,22352.61,94.9,2
Indonesia,1970,23687.16,90.6,2
South Africa,1970,4453.2,65.2,1
India,1970,13292.46,82.0,1
South Korea,1970,22596.43,82.8,2
Australia,1970,10630.04,90.8,0
Canada,1970,11453.74,68.9,1
Canada,1970,20423.41,88.0,2
Japan,1970,31107.1,75.3,1
Egypt,1970,11968.38,82.5,2
South Africa,1970,4456.1,95.7,0
Mexico,1970,13229.97,79.2,1
Australia,1970,20303.05,78.5,1
Nigeria,1970,5926.03,88.8,0
Egypt,1970,-644.19,89.4,0
Mexico,1970,14032.41,81.3,2
India,1970,2794.75,86.8,0
Russia,1970,21226.89,80.5,2
Germany,1970,9265.42,91.3,0
Brazil,1970,12022.35,73.8,1
Indonesia,1970,19108.8,100.0,2
South Africa,1970,10128.64,76.7,1
Canada,1970,14829.06,82.2,1
France,1970,17348.46,96.6,2
France,1970,18430.53,85.9,2
Mexico,1970,19953.23,98.7,2
Australia,1970,17584.63,84.2,2
Indonesia,1970,15906.16,95.8,2
South Africa,1970,-1148.4,89.2,0
South Africa,1970,-4499.15,100.0,0
Argentina,1970,16347.69,83.8,2
Canada,1970,21724.96,75.8,1
Canada,1970,18229.84,96.9,2
Argentina,1970,21970.38,78.2,1
Turkey,1970,18278.55,75.3,1
Brazil,1970,17655.84,82.4,2
Turkey,1970,17938.3,82.0,1
Brazil,1970,14164.41,87.4,2
Saudi Arabia,1970,9767.39,94.5,0
Egypt,1970,2031.5,90.5,0
India,1970,10105.85,84.2,0
Egypt,1970,6553.4,91.7,0
Saudi Arabia,1970,30209.53,69.2,1
Saudi Arabia,1970,27897.77,77.8,1
Australia,1970,16349.24,85.2,2
Argentina,1970,5850.19,66.2,1
Japan,1970,22755.66,94.2,2
South Africa,1970,2925.53,68.4,1
Egypt,1970,1535.73,82.9,0
France,1970,14788.75,84.9,2
Kenya,1970,1929.63,81.7,0
Japan,1970,5448.6,90.0,0
United States,1970,-834.4,75.8,0
Saudi Arabia,1970,11277.52,89.7,0
India,1970,19972.58,84.5,2
Russia,1970,-2085.39,87.9,0
Turkey,1970,13440.73,86.9,2
China,1970,7226.75,90.1,0
Germany,1970,24511.31,76.2,2
South Korea,1970,-148.92,94.4,0
Brazil,1970,12883.88,87.8,0
Russia,1970,16677.28,90.1,2
Saudi Arabia,1970,9442.29,96.2,0
United States,1970,9735.07,93.7,0
Kenya,1970,6122.9,94.3,0
China,1970,19926.17,91.0,2
India,1970,11374.01,73.6,1
Russia,1970,18011.28,100.0,2
Nigeria,1970,4327.35,75.1,1
Saudi Arabia,1970,15179.73,92.2,2
Japan,1970,15814.85,85.5,2
