Country,Year,Region,GDP_per_capita,Education_Expenditure,Primary_Enrollment,Secondary_Enrollment,Tertiary_Enrollment,Literacy_Rate,Avg_Years_Schooling,Internet_Access,Pupil_Teacher_Ratio,Gender_Parity_Index,Unemployment_Rate,Government_Policy_Score,GDP_per_capita_log,Cluster
India,2015,South Asia,18973.71,4.29,98.2,90.2,31.5,82.7,12.7,75.3,17.7,1.05,5.6,5.1,9.850809615763078,2
Nigeria,2018,Africa,5935.7,2.0,86.4,69.4,19.8,88.1,7.7,31.8,27.3,0.98,7.2,3.2,8.688740244486516,0
Egypt,2017,Africa,-355.06,4.67,89.2,78.8,26.0,82.1,8.3,97.0,19.9,0.89,9.5,3.6,,0
India,2023,South Asia,16670.91,2.0,88.4,77.0,46.1,86.7,9.3,54.0,12.6,0.93,5.6,8.1,9.721420563337093,2
Germany,2024,Europe,17748.95,2.0,96.6,71.1,24.8,91.1,11.6,78.6,15.8,0.97,8.0,8.0,9.784081638224263,2
Australia,2015,Oceania,11166.61,4.22,89.5,63.0,47.2,98.6,9.4,80.1,21.8,0.94,8.1,9.1,9.320683354505306,0
United States,2016,North America,14713.39,6.85,81.9,83.2,36.3,82.0,9.7,20.2,18.9,1.04,11.4,5.0,9.596513242517167,1
South Africa,2018,Africa,-2467.95,3.75,99.6,78.3,27.1,90.1,9.7,79.4,16.5,0.97,5.8,3.1,,0
Turkey,2024,Europe,17368.96,4.89,95.0,72.7,13.8,80.8,8.8,44.0,19.2,1.04,12.7,6.3,9.762439984097822,1
United States,2023,North America,17060.4,4.39,85.4,74.7,35.9,100.0,9.1,66.0,19.8,0.88,10.4,7.5,9.744515267429653,0
South Africa,2023,Africa,10328.26,3.14,100.0,61.0,43.8,100.0,7.5,48.7,20.5,0.95,2.3,6.1,9.242639106493113,2
Australia,2018,Oceania,6501.57,5.21,90.4,90.5,23.3,81.8,11.1,35.4,21.1,1.13,2.2,6.4,8.779798965179548,2
Mexico,2024,North America,17079.06,5.67,88.8,61.8,42.8,88.0,10.0,66.9,16.6,1.02,7.9,4.6,9.745608430699267,2
Nigeria,2015,Africa,18926.2,5.21,89.0,81.6,20.4,92.9,11.8,43.6,24.8,1.04,9.5,9.8,9.848302484485659,2
Brazil,2021,South America,13036.9,3.37,90.6,66.8,33.8,88.4,10.1,76.5,20.1,1.15,6.2,10.0,9.475539077157023,2
Japan,2019,East Asia,20005.34,3.21,89.6,79.8,31.6,92.1,10.4,58.5,15.8,0.85,5.7,7.7,9.90375451689797,2
China,2018,East Asia,16712.75,2.63,95.9,78.9,21.7,86.5,9.6,37.1,21.8,1.06,10.2,8.1,9.723927180161443,1
Japan,2016,East Asia,3978.65,3.09,97.6,80.1,42.7,100.0,10.6,82.7,24.8,1.07,6.1,7.5,8.288697844758616,0
Germany,2021,Europe,8817.4,4.14,92.6,75.8,69.7,66.3,10.9,27.7,17.6,1.11,7.2,3.8,9.084482320962824,1
India,2020,South Asia,9277.57,5.52,91.3,77.2,35.7,78.5,13.8,72.7,10.0,1.02,5.0,7.7,9.13535493804237,1
South Korea,2024,East Asia,8659.83,4.33,97.5,83.7,17.0,81.7,8.6,46.9,28.8,1.04,3.2,7.8,9.066450370878812,2
Nigeria,2015,Africa,20977.25,6.05,87.4,70.2,54.0,77.9,10.4,75.5,15.4,0.99,1.0,4.0,9.951193796142523,2
