Country,Year,GDP_per_capita,GDP_per_capita_winsorized,GDP_per_capita_log
India,1970,18973.71,18973.71,9.850862318879583
Nigeria,1970,5935.7,5935.7,8.688908702422967
Egypt,1970,-355.06,-355.06,
India,1970,16670.91,16670.91,9.72148054626597
Germany,1970,17748.95,17748.95,9.784137977998187
Australia,1970,11166.61,11166.61,9.320772903188956
United States,1970,14713.39,14713.39,9.596581205509985
South Africa,1970,-2467.95,-2467.95,
Turkey,1970,17368.96,17368.96,9.762497556411544
United States,1970,17060.4,17060.4,9.74457388098464
South Africa,1970,10328.26,10328.26,9.242735923536086
Australia,1970,6501.57,6501.57,8.779952762355213
Mexico,1970,17079.06,17079.06,9.745666980216953
Nigeria,1970,18926.2,18926.2,9.84835531989808
Brazil,1970,13036.9,13036.9,9.47561577956705
Japan,1970,20005.34,20005.34,9.903804502302243
China,1970,16712.75,16712.75,9.723987012928875
Japan,1970,3978.65,3978.65,8.28894915471307
Germany,1970,8817.4,8817.4,9.084595726649106
India,1970,9277.57,9277.57,9.135462719078832
South Korea,1970,8659.83,8659.83,9.066565839919958
Nigeria,1970,20977.25,20977.25,9.951241465697178
Mexico,1970,12979.45,12979.45,9.471199658378245
India,1970,16592.48,16592.48,9.716765126105532
Germany,1970,17247.93,17247.93,9.755505391550122
Kenya,1970,-2631.96,-2631.96,
South Korea,1970,21603.33,21603.33,9.980649036545204
South Africa,1970,-4048.14,-2777.4275,
Canada,1970,8396.02,8396.02,9.035632159983752
Kenya,1970,-1747.55,-1747.55,
Egypt,1970,8154.77,8154.77,9.00648093119863
France,1970,26609.15,26609.15,10.189048000934427
Mexico,1970,8926.94,8926.94,9.096940964168402
Brazil,1970,1294.92,1294.92,7.166976146611883
South Korea,1970,15962.37,15962.37,9.678052001596374
Nigeria,1970,20485.98,20485.98,9.927544841399895
Saudi Arabia,1970,12844.75,12844.75,9.46076829631745
Russia,1970,4564.24,4564.24,8.4262263655792
Brazil,1970,14143.76,14143.76,9.55709951646553
France,1970,10755.99,10755.99,9.283311054804354
Russia,1970,13976.66,13976.66,9.545215619803626
Japan,1970,15618.95,15618.95,9.656304222364225
Egypt,1970,-1205.14,-1205.14,
Japan,1970,19007.34,19007.34,9.852633109207785
Nigeria,1970,6077.78,6077.78,8.712559296930987
South Africa,1970,10685.54,10685.54,9.276740284649145
Japan,1970,24342.26,24342.26,10.100010293480876
Indonesia,1970,24609.71,24609.71,10.110936993029897
Mexico,1970,16884.92,16884.92,9.73423541756573
Nigeria,1970,10642.69,10642.69,9.27272250728413
Egypt,1970,10055.91,10055.91,9.216015239413686
Russia,1970,17239.75,17239.75,9.755031046751714
Argentina,1970,27745.49,27317.421,10.215316515528354
Argentina,1970,21585.36,21585.36,9.979816912722367
South Korea,1970,13152.52,13152.52,9.484444682394214
China,1970,10410.7,10410.7,9.250685452791174
Indonesia,1970,12258.5,12258.5,9.414056425624294
Canada,1970,5222.98,5222.98,8.561014842465019
China,1970,17609.06,17609.06,9.776225608639473
Australia,1970,-1655.44,-1655.44,
Germany,1970,17462.41,17462.41,9.767863113875311
France,1970,18266.02,18266.02,9.812852527146616
Mexico,1970,19141.27,19141.27,9.859654257765559
Nigeria,1970,7946.54,7946.54,8.980617725801547
United States,1970,9984.26,9984.26,9.208865284569493
Russia,1970,16421.61,16421.61,9.706414322871765
Japan,1970,17172.63,17172.63,9.751130346805638
Kenya,1970,524.03,524.03,6.263455403816176
Brazil,1970,17136.4,17136.4,9.749018488696725
United States,1970,11638.51,11638.51,9.362160624179428
Turkey,1970,14604.29,14604.29,9.589139070838335
Turkey,1970,9900.9,9900.9,9.200481936900468
Kenya,1970,-902.31,-902.31,
Saudi Arabia,1970,10859.11,10859.11,9.292851722350074
China,1970,19725.24,19725.24,9.88970500812349
Brazil,1970,17949.39,17949.39,9.795367120699895
Turkey,1970,16995.07,16995.07,9.740737419842366
Saudi Arabia,1970,24560.37,24560.37,10.108930162464292
Indonesia,1970,6830.14,6830.14,8.829246849324937
India,1970,14635.31,14635.31,9.591260706565242
Kenya,1970,9141.78,9141.78,9.1207197757509
Canada,1970,21725.15,21725.15,9.986271883139981
Argentina,1970,14971.18,14971.18,9.613949091393943
Germany,1970,29381.49,27317.421,10.215316515528354
Germany,1970,23396.42,23396.42,10.060381038856852
China,1970,19182.68,19182.68,9.861815196561034
Indonesia,1970,18193.78,18193.78,9.808890018739305
Brazil,1970,13618.98,13618.98,9.519293111273644
Turkey,1970,14795.57,14795.57,9.602150676135702
Australia,1970,11258.39,11258.39,9.328957726158718
Russia,1970,12210.78,12210.78,9.410156338625349
Kenya,1970,9821.04,9821.04,9.192384119081225
South Korea,1970,23865.46,23865.46,10.080229405025259
Turkey,1970,34227.32,27317.421,10.215316515528354
India,1970,14486.89,14486.89,9.58106840704409
Egypt,1970,1619.49,1619.49,7.390483851627665
Japan,1970,9888.31,9888.31,9.199209654741036
Argentina,1970,23180.56,23180.56,10.05111241402527
Egypt,1970,-9543.65,-2777.4275,
Egypt,1970,8400.42,8400.42,9.036156018163513
Germany,1970,16001.8,16001.8,9.680518985911204
Egypt,1970,-1747.26,-1747.26,
Canada,1970,13517.7,13517.7,9.511829191127724
Germany,1970,28421.61,27317.421,10.215316515528354
Egypt,1970,5870.29,5870.29,8.67782965017727
Indonesia,1970,19466.62,19466.62,9.87650785155183
Russia,1970,6261.5,6261.5,8.742334745393121
Argentina,1970,8712.08,8712.08,9.072580623871678
Indonesia,1970,22352.61,22352.61,10.014743108251357
Indonesia,1970,23687.16,23687.16,10.072730624233456
South Africa,1970,4453.2,4453.2,8.401602750266749
